Date,Corn,Ethanol,Crude Oil,Live Cattle,ADM,Bunge,Con Agra,Green Plains,Wheat,Soyabean
29/02/16,371.00,1.41,35.85,135.80,34.77,61.89,41.52,18.48,476.25,883.00
31/01/16,359.50,1.38,37.85,135.58,36.11,67.48,41.69,22.55,472.75,870.75
31/12/15,365.25,1.53,44.62,129.45,36.80,67.00,41.12,24.16,460.00,881.00
30/11/15,381.25,1.61,49.50,141.13,45.81,72.86,41.10,20.33,520.00,883.75
31/10/15,387.75,1.57,48.40,124.00,41.69,73.43,40.48,19.69,512.00,891.50
30/09/15,362.50,1.47,52.92,142.83,43.98,71.50,40.98,20.61,482.00,891.75
31/08/15,370.00,1.48,51.55,147.45,47.42,79.72,44.01,22.22,497.25,978.00
31/07/15,411.00,1.62,63.02,148.40,48.71,88.40,43.90,27.80,611.50,1053.50
30/06/15,350.50,1.52,65.59,152.58,52.89,92.61,38.85,32.44,478.00,931.00
31/05/15,362.50,1.63,66.78,149.50,48.91,86.97,36.10,31.18,469.50,979.75
30/04/15,377.00,1.49,55.18,161.40,47.45,82.52,36.51,28.26,513.00,973.25
31/03/15,383.00,1.44,62.50,152.18,47.82,81.51,34.82,23.23,517.25,1029.75
28/02/15,369.75,1.39,52.68,154.45,46.79,89.80,35.42,23.57,503.00,961.00
31/01/15,396.25,1.62,58.02,165.48,52.20,90.88,36.22,24.89,589.75,1017.75
31/12/14,374.00,1.97,70.15,168.90,52.66,90.45,36.35,30.00,577.50,1010.75
30/11/14,374.50,1.80,85.85,165.75,47.24,88.58,34.22,34.36,536.25,1043.00
31/10/14,320.25,1.60,94.77,160.23,51.17,84.11,33.05,37.47,476.75,911.00
30/09/14,357.50,2.20,102.95,151.85,49.98,84.88,32.19,45.04,550.25,1090.25
31/08/14,357.00,2.07,105.60,157.53,46.33,78.80,30.12,37.81,531.00,1224.25
31/07/14,423.75,2.09,112.50,150.38,44.29,75.90,29.73,32.92,564.75,1400.50
30/06/14,465.00,2.34,109.70,137.78,44.89,77.80,32.31,29.27,624.75,1488.00
31/05/14,513.25,2.22,108.08,137.15,43.74,77.65,30.43,30.16,713.25,1528.00
30/04/14,501.50,3.58,107.66,145.75,43.42,79.61,31.01,30.10,695.50,1463.00
31/03/14,459.00,2.29,109.44,145.18,40.14,78.89,28.32,26.14,610.00,1418.50
28/02/14,433.50,1.90,106.40,141.73,39.28,75.59,31.75,22.36,555.00,1281.75
31/01/14,422.00,1.95,111.00,134.93,43.22,81.71,33.66,19.21,605.00,1312.50
31/12/13,414.75,2.05,109.60,133.50,40.33,80.44,33.00,17.42,655.00,1335.75
30/11/13,427.75,1.77,109.05,132.98,41.03,81.82,31.85,16.10,667.50,1280.00
31/10/13,441.25,1.94,108.38,127.48,36.80,75.74,30.29,15.99,678.25,1278.50
30/09/13,501.25,2.49,114.00,126.80,35.43,76.15,34.15,16.46,652.25,1454.00
31/08/13,499.00,2.33,107.81,121.48,36.72,76.39,36.49,16.79,663.50,1371.75
31/07/13,678.50,2.44,101.90,122.20,34.11,70.77,35.00,13.42,646.00,1565.50
30/06/13,661.25,2.76,100.15,121.28,32.31,69.54,33.67,15.91,708.50,1509.50
31/05/13,679.50,2.56,101.82,122.05,33.79,72.09,35.33,13.00,722.25,1466.25
30/04/13,679.00,2.41,110.15,128.88,33.73,73.97,35.83,11.40,681.50,1401.50
31/03/13,719.50,2.40,110.90,130.28,31.70,73.36,34.03,9.38,710.75,1473.50
28/02/13,740.25,2.49,115.77,127.90,28.80,79.96,32.91,7.90,780.50,1470.00
31/01/13,706.25,2.20,111.50,132.95,28.14,73.41,29.97,8.18,785.50,1437.00
31/12/12,752.00,2.42,110.96,126.63,26.78,73.16,29.91,7.75,849.75,1443.75
30/11/12,755.50,2.45,108.49,125.65,26.98,70.99,27.91,7.59,865.75,1547.00
31/10/12,760.25,2.36,112.34,122.05,27.31,67.36,27.70,5.88,902.00,1596.50
30/09/12,805.00,2.58,114.70,126.00,26.80,64.11,25.30,4.59,875.50,1778.50
31/08/12,806.50,2.60,104.40,119.08,26.19,66.30,24.74,4.48,889.00,1721.00
31/07/12,682.00,2.29,97.60,120.05,28.95,62.79,25.85,6.21,741.75,1526.00
30/06/12,557.75,2.03,101.69,117.80,31.35,58.80,24.96,6.95,643.50,1340.75
31/05/12,659.25,2.21,119.28,114.25,31.34,64.76,25.82,8.01,647.50,1500.25
30/04/12,649.50,2.28,122.94,120.70,31.67,68.41,26.28,10.74,663.75,1407.00
31/03/12,655.75,2.24,123.00,129.80,31.41,67.47,26.25,10.45,662.00,1307.75
29/02/12,639.00,2.16,111.30,125.00,29.26,57.70,26.75,11.48,667.50,1202.00
31/01/12,662.00,2.25,108.35,122.00,29.19,58.32,26.63,10.01,666.00,1223.75
31/12/11,602.00,2.49,110.75,121.95,30.17,62.58,25.28,10.48,598.75,1133.25
30/11/11,646.25,2.75,109.09,118.58,27.55,59.77,24.81,10.05,629.25,1204.50
31/10/11,590.00,2.42,102.00,122.33,24.62,57.73,24.00,9.25,609.25,1176.25
30/09/11,756.50,2.89,114.85,113.95,28.50,64.56,24.48,10.58,742.00,1439.00
31/08/11,668.50,2.92,117.00,112.78,30.91,69.70,25.83,11.07,671.25,1354.25
31/07/11,629.00,2.61,111.80,110.83,30.43,69.07,25.75,10.81,585.50,1308.50
30/06/11,751.00,2.66,117.07,103.58,32.49,74.38,25.43,10.25,782.50,1377.50
31/05/11,752.75,2.66,126.10,113.35,37.28,75.50,24.50,12.55,772.00,1389.50
30/04/11,730.00,2.71,117.61,121.10,36.68,73.07,23.90,12.16,760.50,1411.50
31/03/11,722.00,2.62,111.90,112.98,37.50,72.20,23.24,12.35,784.50,1360.00
28/02/11,658.75,2.33,101.01,109.00,34.85,69.07,22.39,11.21,844.50,1413.50
31/01/11,626.25,2.38,94.75,108.35,30.39,65.95,22.69,11.34,793.50,1388.50
31/12/10,530.75,2.12,85.71,103.40,29.36,61.68,21.75,11.21,653.00,1243.00
30/11/10,585.00,2.37,83.13,98.80,33.43,60.58,22.54,11.22,724.50,1230.25
31/10/10,494.75,1.92,82.21,96.73,31.89,59.59,22.06,12.24,674.00,1105.50
30/09/10,424.75,1.95,74.46,97.25,31.25,53.86,21.77,9.48,654.25,1008.75
31/08/10,391.50,1.72,78.11,92.78,27.64,50.29,23.69,9.47,660.00,1051.75
31/07/10,354.00,1.53,74.65,90.00,26.03,49.09,23.33,10.32,464.25,948.50
30/06/10,358.75,1.59,74.82,90.35,25.05,48.31,23.99,11.00,457.75,939.25
31/05/10,366.00,1.61,87.44,94.63,28.23,53.45,24.58,13.95,493.50,988.25
30/04/10,345.25,1.55,82.44,96.58,28.97,61.92,25.19,14.46,452.50,940.00
31/03/10,378.00,1.69,77.69,92.03,29.49,59.70,24.55,17.15,508.00,954.25
28/02/10,356.25,1.79,71.35,85.83,30.07,59.24,22.85,13.11,476.00,915.25
