Date,Open(QCc1)
29/02/2016,371.00
31/01/2016,359.50
31/12/2015,365.25
30/11/2015,381.25
31/10/2015,387.75
30/09/2015,362.50
31/08/2015,370.00
31/07/2015,411.00
30/06/2015,350.50
31/05/2015,362.50
30/04/2015,377.00
31/03/2015,383.00
28/02/2015,369.75
31/01/2015,396.25
31/12/2014,374.00
30/11/2014,374.50
31/10/2014,320.25
30/09/2014,357.50
31/08/2014,357.00
31/07/2014,423.75
30/06/2014,465.00
31/05/2014,513.25
30/04/2014,501.50
31/03/2014,459.00
28/02/2014,433.50
31/01/2014,422.00
31/12/2013,414.75
30/11/2013,427.75
31/10/2013,441.25
30/09/2013,501.25
31/08/2013,499.00
31/07/2013,678.50
30/06/2013,661.25
31/05/2013,679.50
30/04/2013,679.00
31/03/2013,719.50
28/02/2013,740.25
31/01/2013,706.25
31/12/2012,752.00
30/11/2012,755.50
31/10/2012,760.25
30/09/2012,805.00
31/08/2012,806.50
31/07/2012,682.00
30/06/2012,557.75
31/05/2012,659.25
30/04/2012,649.50
31/03/2012,655.75
29/02/2012,639.00
31/01/2012,662.00
31/12/2011,602.00
30/11/2011,646.25
31/10/2011,590.00
30/09/2011,756.50
31/08/2011,668.50
31/07/2011,629.00
30/06/2011,751.00
31/05/2011,752.75
30/04/2011,730.00
31/03/2011,722.00
28/02/2011,658.75
31/01/2011,626.25
31/12/2010,530.75
30/11/2010,585.00
31/10/2010,494.75
30/09/2010,424.75
31/08/2010,391.50
31/07/2010,354.00
30/06/2010,358.75
31/05/2010,366.00
30/04/2010,345.25
31/03/2010,378.00
28/02/2010,356.25
31/01/2010,415.75
31/12/2009,400.75
30/11/2009,362.00
31/10/2009,341.25
30/09/2009,325.00
31/08/2009,342.00
31/07/2009,346.00
30/06/2009,434.25
31/05/2009,395.00
30/04/2009,401.50
31/03/2009,350.00
28/02/2009,378.00
31/01/2009,404.00
31/12/2008,350.00
30/11/2008,398.00
31/10/2008,494.00
30/09/2008,560.25
31/08/2008,589.00
31/07/2008,722.00
30/06/2008,597.00
31/05/2008,602.00
30/04/2008,570.50
31/03/2008,546.00
29/02/2008,503.00
31/01/2008,456.25
31/12/2007,383.75
30/11/2007,375.50
31/10/2007,373.00
30/09/2007,327.50
31/08/2007,327.00
31/07/2007,330.00
30/06/2007,390.00
31/05/2007,364.75
30/04/2007,357.00
31/03/2007,425.75
28/02/2007,404.25
31/01/2007,389.25
31/12/2006,376.75
30/11/2006,320.75
31/10/2006,263.25
30/09/2006,231.50
31/08/2006,239.75
31/07/2006,239.25
30/06/2006,251.25
31/05/2006,237.25
30/04/2006,235.25
31/03/2006,227.25
28/02/2006,217.75
31/01/2006,215.25
31/12/2005,188.00
30/11/2005,196.25
31/10/2005,205.25
30/09/2005,201.50
31/08/2005,238.00
31/07/2005,215.00
30/06/2005,221.25
31/05/2005,205.00
30/04/2005,213.75
31/03/2005,211.50
28/02/2005,197.25
31/01/2005,203.50
31/12/2004,192.50
30/11/2004,202.00
31/10/2004,205.50
30/09/2004,230.50
31/08/2004,218.75
31/07/2004,257.50
30/06/2004,307.50
31/05/2004,315.75
30/04/2004,319.75
31/03/2004,296.00
29/02/2004,274.75
31/01/2004,246.00
31/12/2003,247.00
30/11/2003,246.00
31/10/2003,220.25
30/09/2003,230.25
31/08/2003,206.00
31/07/2003,228.75
30/06/2003,243.25
31/05/2003,232.50
30/04/2003,236.25
31/03/2003,231.75
28/02/2003,237.25
31/01/2003,235.75
31/12/2002,240.25
30/11/2002,247.75
31/10/2002,251.75
30/09/2002,258.75
31/08/2002,247.75
31/07/2002,225.00
30/06/2002,212.00
31/05/2002,193.50
30/04/2002,202.50
31/03/2002,200.00
28/02/2002,205.75
31/01/2002,199.75
31/12/2001,208.50
30/11/2001,199.50
31/10/2001,207.75
30/09/2001,219.00
31/08/2001,218.50
31/07/2001,188.25
30/06/2001,192.25
31/05/2001,199.00
30/04/2001,205.00
31/03/2001,214.00
28/02/2001,209.00
31/01/2001,224.00
31/12/2000,208.25
30/11/2000,201.50
31/10/2000,193.50
30/09/2000,182.75
31/08/2000,180.25
31/07/2000,189.50
30/06/2000,229.00
31/05/2000,227.75
30/04/2000,236.00
31/03/2000,215.00
29/02/2000,219.75
31/01/2000,204.50
31/12/1999,187.50
30/11/1999,200.00
31/10/1999,208.00
30/09/1999,204.50
31/08/1999,205.00
31/07/1999,212.75
30/06/1999,215.50
31/05/1999,214.00
30/04/1999,226.00
31/03/1999,204.25
28/02/1999,214.00
31/01/1999,214.00
31/12/1998,218.50
30/11/1998,218.50
31/10/1998,208.50
30/09/1998,185.75
31/08/1998,216.50
31/07/1998,245.00
30/06/1998,237.50
31/05/1998,243.50
30/04/1998,259.00
31/03/1998,261.50
28/02/1998,272.75
31/01/1998,263.50
31/12/1997,271.00
30/11/1997,279.00
31/10/1997,257.25
30/09/1997,265.50
31/08/1997,265.00
31/07/1997,247.50
30/06/1997,270.00
31/05/1997,295.25
30/04/1997,310.50
31/03/1997,296.00
28/02/1997,269.50
31/01/1997,257.75
31/12/1996,269.50
30/11/1996,265.75
31/10/1996,293.25
30/09/1996,368.00
31/08/1996,355.00
31/07/1996,516.00
30/06/1996,477.25
31/05/1996,466.00
30/04/1996,409.00
31/03/1996,395.50
29/02/1996,367.50
