Open Price,High Price,Low Price,Close Price,Trade Date
366.5,369.25,366.25,367.75,02/22/2016
365.25,367.5,364.75,366.5,02/19/2016
367,368,365.25,365.75,02/18/2016
362.75,367.5,362,367.25,02/17/2016
359.75,363.5,359,362.75,02/16/2016
361,362,358.25,359,02/12/16
360,363.25,358.5,361,02/11/16
361,361.75,359.25,360.25,02/10/16
362.25,362.75,359.25,361.25,02/09/16
366,367,361.5,362.5,02/08/16
369,369.5,365.5,365.5,02/05/16
371,373.5,368,368.75,02/04/16
372,373.25,370.25,371,02/03/16
371.25,373.75,369,372.75,02/02/16
371,371.75,367.75,371.5,02/01/16
365.25,372.5,365,371.5,01/29/2016
368.75,370.25,365,365.25,01/28/2016
368.75,371,367.5,369,01/27/2016
369.25,372,367,368.75,01/26/2016
370,372.5,366.5,369.5,01/25/2016
366.75,371.5,366.5,370,01/22/2016
368.75,372,365.5,366.25,01/21/2016
367.5,369.25,365.25,369.25,01/20/2016
364,369.5,364,367.75,01/19/2016
358,363.5,356,363.25,01/15/2016
357.75,360.25,355.5,357.75,01/14/2016
356,360.75,355.5,358,01/13/2016
352,363.75,349.5,355.5,01/12/16
357,357.25,349.5,351.75,01/11/16
353,357.75,352.75,357.25,01/08/16
353.25,354.25,348.5,353,01/07/16
353.5,354.75,350.25,353.25,01/06/16
352.75,356,351.75,353.5,01/05/16
359.5,360,350.5,352,01/04/16
358.5,360.25,357.5,358,12/31/2015
362.5,364,358,358.75,12/30/2015
361,363,357,362.75,12/29/2015
363.75,365.5,360.5,361,12/28/2015
365,365.75,363.5,364.5,12/24/2015
366.5,367.75,364.5,365,12/23/2015
372,374.5,366,366.25,12/22/2015
374,377,369.75,372.25,12/21/2015
374.25,379.5,372.75,374.75,12/18/2015
370.25,375,362.5,374.25,12/17/2015
377,377.75,369.25,370.75,12/16/2015
378.25,379.5,375.75,377.5,12/15/2015
373.5,381.75,373.5,381,12/14/2015
377,378.75,372.75,373.25,12/11/15
372.5,379.25,371.75,377,12/10/15
370.75,376.75,368.5,372.25,12/09/15
369,371,367.25,370.25,12/08/15
375.75,376,368,368.25,12/07/15
370,376.5,369.75,376.25,12/04/15
363.75,371.25,361.25,369.5,12/03/15
367,367,363.5,363.5,12/02/15
365.25,368.75,364.5,367.5,12/01/15
359.75,366,359.25,365.25,11/30/2015
365.25,365.75,358.75,359.5,11/27/2015
364.25,366.5,364,365,11/25/2015
367,367.25,364,364.75,11/24/2015
362.5,367.5,360,367.25,11/23/2015
363.5,366.5,362,363.5,11/20/2015
361.75,365.5,360.25,363.75,11/19/2015
362,364.25,358.5,362,11/18/2015
360,362.5,358.25,361.75,11/17/2015
358.25,360.75,357.25,360,11/16/2015
361.5,362.25,358,358.25,11/13/2015
361.75,363.5,359.25,361.25,11/12/15
360.5,363.5,359.5,362.25,11/11/15
367,367.75,356,360.25,11/10/15
372.75,375.5,366.5,367.75,11/09/15
374.75,375.25,370,373,11/06/15
379.5,379.75,373.75,374.25,11/05/15
379.5,383.5,376.5,380,11/04/15
376.5,382.25,375.75,379.5,11/03/15
381.25,381.75,376,376.5,11/02/15
379.75,383.75,378.75,382,10/30/2015
376,380.5,375.5,380,10/29/2015
379.75,380.75,375.75,376.75,10/28/2015
384,387.5,379,379.5,10/27/2015
380,385.75,378,384.75,10/26/2015
377.75,380,375,380,10/23/2015
380.25,383.5,377.5,378,10/22/2015
377,381,375.5,380.25,10/21/2015
372.75,377.75,372,377,10/20/2015
377.25,377.5,372.5,373,10/19/2015
375.5,378,372.5,377.25,10/16/2015
378.75,379.5,375,375.5,10/15/2015
384.5,386.75,378.5,378.5,10/14/2015
381,384.75,379,384.25,10/13/2015
381.5,385.25,380.25,380.5,10/12/15
391,394.25,381.5,382,10/09/15
394.75,395.75,390.5,391.75,10/08/15
397.5,399.75,393.75,395,10/07/15
392.75,399,391.75,397.5,10/06/15
389.25,394,388.75,393.75,10/05/15
388,391.5,384,388.75,10/02/15
387.75,393,385,388.5,10/01/15
389,394.5,383.5,388.75,09/30/2015
387.25,389.5,385,389.5,09/29/2015
388.75,392.5,383.75,387,09/28/2015
381.25,389.5,381,389,09/25/2015
382.75,384,379.25,382,09/24/2015
379.5,384.5,379,383,09/23/2015
384,384.5,377.25,380,09/22/2015
376.5,385.5,375,384.5,09/21/2015
380,382.5,376.5,377.5,09/18/2015
385.25,385.5,379.25,380.5,09/17/2015
390,391,383,385.5,09/16/2015
392.75,395,388.75,390.25,09/15/2015
377.5,381,375,379.5,09/14/2015
361.75,374.75,357,374.75,09/11/15
356,362.25,355.5,362,09/10/15
353.25,359.25,353.25,356.25,09/09/15
354.25,355.5,351,355,09/08/15
348,351,346.75,349,09/04/15
354,354.5,347.25,347.5,09/03/15
356.75,358,351.25,353.75,09/02/15
362.5,362.5,355.25,355.25,09/01/15
362.25,365.25,359.75,363.75,08/31/2015
362.5,368.75,362.25,362.75,08/28/2015
362.5,367.25,360.25,363,08/27/2015
365.25,369,361.5,362.25,08/26/2015
368,375,363.75,366.25,08/25/2015
365,370.25,354,370.25,08/24/2015
370.25,372.5,364,365.5,08/21/2015
367,371.75,367,371,08/20/2015
366,372,365.75,367.25,08/19/2015
363,368.25,361.75,365.75,08/18/2015
363.5,368,361.25,363.5,08/17/2015
363.75,365.75,359.75,364.25,08/14/2015
358.25,364.75,355.25,364,08/13/2015
377,382.75,346.5,358.75,08/12/15
388.5,388.5,376,377.5,08/11/15
374,391.5,373.75,390.25,08/10/15
370,375,366.5,373.5,08/07/15
372.5,375,369.25,369.5,08/06/15
368.75,373.75,367.5,372.75,08/05/15
368,372.75,366.75,369,08/04/15
370,370.5,365,368.25,08/03/15
374.75,377.5,369.25,371.75,07/31/2015
367.75,374.5,365.75,374.5,07/30/2015
377.5,377.75,367,367.25,07/29/2015
373.5,376,370,375.5,07/28/2015
389,389.25,372.5,373,07/27/2015
403.25,403.5,392,392,07/24/2015
403.5,405.25,398.5,403,07/23/2015
407.25,407.5,399.75,402.75,07/22/2015
406.5,410.25,402.5,406.75,07/21/2015
418.5,418.5,404.5,405.75,07/20/2015
428,429.5,418.25,420,07/17/2015
